Test_Name,Count,Mean_us,Min_us,Bucket_Min_Spread_us,Converged,P50_us,P99_us
measurements_falk_to_falk_cpu,1000,216.78,62.11,19.99,True,216.19,469.69
measurements_node1_to_node1_cpu,1000,55.47,42.21,3.82,True,53.33,84.49
measurements_tuusula_to_node1_gpu,1000,38404.53,38136.17,62.99,True,38328.96,39739.15
measurements_falk_to_node1_cpu,1000,21239.19,21004.6,58.37,True,21159.45,23167.26
measurements_node1_to_node1_gpu,1000,561.21,483.07,29.86,True,550.93,749.22
measurements_tuusula_to_tuusula_cpu,1000,128.82,49.66,14.6,True,114.22,573.05
measurements_falk_to_node1_gpu,1000,21806.32,21488.48,96.95,True,21701.43,22671.24
measurements_tuusula_to_falk_cpu,1000,25375.06,25169.14,101.46,False,25368.01,25568.76
measurements_falk_to_tuusula_cpu,1000,25421.19,25146.98,43.28,False,25346.73,27081.81
measurements_tuusula_to_node1_cpu,1000,37848.02,37655.65,39.0,True,37800.42,38652.77
